tip	95\% HPDs	integral
EBOV|MK2449|KU296466|SLE|Bombali|2015-02-26	2013.82711162-2014.24651547,2014.95381518-2015.36255622	0.949775071576
EBOV|EM_074461|KR817120|GIN|Gueckedou|2014-08-04	2013.88416663-2015.04922123,2015.18534445-2015.92201128	0.950884126027
EBOV|1279|KR534589|GIN|Coyah|2014-10-04	2013.94390573-2014.10828384,2014.53819581-2014.96305	0.94967348326
EBOV|EM_079911|KR817222|GIN|Gueckedou|2014-06-09	2014.05019747-2014.44308204	0.950238780259
EBOV|J0127|KP759676|SLE|WesternUrban|2014-10-30	2013.87227843-2015.06928863,2015.22542039-2015.90199137	0.949969621191
EBOV|1327|KR534591|GIN|Coyah|2014-10-07	2014.68375439-2015.26582128	0.950635222822
EBOV|EM_079750|KR817213|GIN|Gueckedou|2014-05-21	2013.99349367-2014.5155348	0.949708524303
EBOV|EM_075930|KR817137|GIN|Beyla|2014-10-10	2013.90406706-2014.18621031,2014.53888937-2015.08848091	0.950053361955
EBOV|EM_074351|KR817110|LBR|Lofa|2014-07-22	2013.94019912-2015.11327253,2015.26541175-2015.89799058	0.949733216669
EBOV|J0015|KP759741|SLE|Bombali|2014-09-26	2013.95310037-2014.19721125,2014.30926215-2015.92999836	0.951109951894
EBOV|EM_079913|KR817224|GIN|Gueckedou|2014-06-09	2014.04948513-2014.52487181	0.950047502149
EBOV|EM_076191|KR817141|GIN|Macenta|2014-10-18	2013.87735264-2014.22593513,2014.55068293-2015.07504634	0.949620892564
EBOV|12934_EMLH|KU296790|SLE|WesternUrban|2015-05-04	2015.09485898-2015.80216123	0.950233942502
EBOV|531|KR534510|GIN|Kouroussa|2014-07-27	2014.04161013-2014.59502018	0.95022508495
EBOV|EM_079731|KR817211|GIN|Gueckedou|2014-05-18	2014.03625773-2014.58690205	0.950151986237
EBOV|EM_000128|KR817071|GIN|Gueckedou|2014-09-04	2013.99643962-2014.09251596,2014.20860821-2015.92196965	0.950813166675
EBOV|77601_EMLK|KU296826|SLE|WesternUrban|2015-01-05	2013.85647291-2014.22744344,2014.27492767-2014.37583165,2014.64293044-2015.23648328	0.950116010312
EBOV|EM_080261|KR817243|LBR|Lofa|2014-07-12	2013.86007901-2015.03708883,2015.18921935-2015.92585135	0.949613031141
EBOV|20143466|KR653304|SLE|Kenema|2014-11-01	2013.88410467-2014.27247332,2014.40860253-2015.19334743,2015.22537784-2015.98609993	0.950577604907
EBOV|LIBR10054|KR006964|LBR|Bomi|2014-09-23	2013.93413239-2014.15597857,2014.57129526-2014.91180335	0.950102382979
EBOV|20141397|KR653288|SLE|Moyamba|2014-09-28	2013.84999829-2014.21289262,2014.30493103-2014.34963541,2014.60471331-2014.91238459	0.949956293936
EBOV|489_EMLH|KU296324|SLE|WesternRural|2015-01-30	2013.94008585-2014.0095028,2014.84552426-2015.25297154	0.950209737585
EBOV|EM120|KM233043|SLE|Kailahun|2014-06-03	2013.93682557-2014.18096704,2014.30503894-2015.92597824	0.949654143227
EBOV|MK2983|KU296393|SLE|Bombali|2015-03-12	2013.87311237-2014.37823951,2015.01650094-2015.3884938	0.949667870428
EBOV|LIBR10093|KT725363|LBR|Nimba|2014-08-17	2013.88011507-2015.11322475,2015.22132202-2015.8899237	0.950383452963
EBOV|MK2369|KU296832|SLE|Bombali|2015-02-25	2013.88051295-2014.183909,2014.92626105-2015.37489989	0.950247498654
EBOV|G6089.1|KR105345|SLE|Tonkolili|2014-09-27	2013.91277384-2014.16893945,2014.30502744-2015.10554499,2015.14557087-2015.9540936	0.949319288275
EBOV|G4323.2|KR105232|SLE|Kenema|2014-07-14	2013.91628956-2015.11722499,2015.23331542-2015.88582367	0.950152750572
EBOV|DML12116|KT357815|SLE|WesternUrban|2015-02-26	2013.90957247-2014.15556819,2014.90973931-2015.37583648	0.950199544836
EBOV|12705_EMLH|KU296490|SLE|WesternUrban|2015-03-29	2013.98454512-2015.09728286,2015.21335982-2015.92182953	0.949579049268
EBOV|MK2825|KU296402|SLE|Bombali|2015-03-08	2013.84068508-2014.38099093,2015.04445474-2015.35830888	0.949739623366
EBOV|CDC-NIH-261||LBR|Montserrado|2014-08-27	2013.94034179-2015.07733085,2015.17741792-2015.93007265	0.950396470584
EBOV|EM_079578|KR817201|GIN|Gueckedou|2014-04-18	2013.92794758-2014.4536327,2014.58202585-2014.7128415	0.9502326984
EBOV|PL4283|KU296840|SLE|PortLoko|2015-03-03	2013.81358489-2014.27076454,2015.0590053-2015.41765485	0.950916944715
EBOV|G3724|KM233053|SLE|Kailahun|2014-06-05	2014.03961599-2014.08357775,2014.26741785-2015.93796488	0.950414382097
EBOV|G3805|KM233082|SLE|Kailahun|2014-06-15	2014.01221642-2015.1292359,2015.19329436-2015.91395209	0.949706086856
EBOV|12579_EMLH|KU296548|SLE|WesternRural|2015-03-20	2013.8594163-2014.4066022,2015.01794092-2015.38398942	0.949875083252
EBOV|20140489|KR653235|SLE|Kenema|2014-09-04	2013.88024559-2014.25658083,2014.40871635-2015.141369,2015.18540823-2016.00613934	0.949961216591
EBOV|G5691.1|KR105318|SLE|Kenema|2014-09-14	2014.59512121-2014.75266666	0.952409843432
EBOV|LIBR10066|KT725379|LBR|Montserrado|2014-09-20	2013.98028908-2014.12842394,2014.38866086-2015.99011879	0.950440032548
EBOV|15327_EMLK|KU296649|SLE|Kambia|2015-06-07	2013.92822092-2014.20447329,2014.21648426-2015.07727063,2015.20939133-2015.93004968	0.951238397543
EBOV|G3769|KM233065|SLE|Kailahun|2014-06-12	2013.90806288-2014.22037479,2014.26842278-2015.09324655,2015.16932252-2015.93809031	0.949084591314
EBOV|1149|KR534582|GIN|Conakry|2014-09-27	2013.86011707-2014.9891597,2015.18133717-2015.94604335	0.949929375721
EBOV|PL4864|KU296437|SLE|Kambia|2015-03-16	2013.89624849-2015.10529163,2015.29345397-2015.857941	0.950177311957
EBOV|LIBR10180|KT725391|LBR|Montserrado|2014-10-11	2013.88418269-2015.10122369,2015.217323-2015.91792225	0.950318448475
EBOV|Makona-UK3|KR025228|SLE|WesternArea|2015-03-12	2013.87629581-2014.3736739,2015.01429687-2015.38832518	0.949526574299
EBOV|20144610|KR653270|SLE|Tonkolili|2014-11-12	2014.70042758-2015.02560838	0.950682909445
EBOV|G3886.1|KR105204|SLE|Kenema|2014-06-19	2013.90007181-2015.15329604,2015.26540555-2015.96208612	0.949511844634
EBOV|PL5201|KU296612|SLE|PortLoko|2015-03-23	2013.87553387-2014.22290162,2014.67882179-2015.29601985	0.949693406702
EBOV|J0125|KP759674|SLE|WesternRural|2014-10-31	2013.90445741-2015.05733488,2015.1614141-2015.93800518	0.951227898065
EBOV|362_EMLH|KU296505|SLE|WesternUrban|2015-01-21	2013.89401247-2014.19593563,2014.66454554-2015.29669716	0.950064027685
EBOV|PL8429|KU296440|SLE|PortLoko|2015-06-24	2013.88807814-2015.12529153,2015.20537006-2015.89404548	0.950403632002
EBOV|MK0709|KU296373|SLE|Tonkolili|2014-12-31	2014.41285548-2015.07637691,2015.1836127-2015.94766768	0.950265150804
EBOV|DML24506|KT357827|SLE|Kono|2015-01-14	2013.82652677-2014.20157906,2014.61532723-2015.21362494	0.950265874856
EBOV|20143938|KR653264|SLE|Koinadugu|2014-11-07	2013.91611462-2014.2083507,2014.60867409-2015.06904599,2015.72557636-2015.88970895	0.949716451171
EBOV|LIBR10209|KT725371|LBR|Montserrado|2014-09-19	2013.89613974-2014.25247384,2014.53273662-2015.0572284,2015.52566761-2015.95006554	0.949934145562
EBOV|1339|KR534550|GIN|Coyah|2014-10-08	2013.91297847-2014.19245706,2014.54251105-2015.08735315	0.950009786316
EBOV|77706_EMLK|KU296572|SLE|WesternUrban|2015-01-10	2013.88405449-2014.23237807,2014.67679093-2015.35341951	0.94995385969
EBOV|EM_076193|KR817143|GIN|Nzerekore|2014-10-18	2013.96848287-2014.14461837,2014.28472616-2015.15339446,2015.1654037-2015.93799808	0.948781300446
EBOV|653|KR534514|GIN|Conakry|2014-08-15	2013.88404466-2015.08522161,2015.26539816-2015.88200233	0.949816010547
