loc	country	PC1	lon	lat	colour
Conakry	GIN	0.34745500432	-13.5715370058	9.62665636735	#6db69f
Dabola	GIN	0.55962584512	-11.1082771933	10.7355798608	#4c8d78
Dinguiraye	GIN	0.54833273232	-10.8975273947	11.3840855598	#4e8f7a
Faranah	GIN	0.63736784032	-10.7359449117	10.0445022536	#407e6a
Kissidougou	GIN	0.75237829264	-10.102661432	9.19279464903	#356a59
Kerouane	GIN	0.83910071416	-9.30018289682	9.22312066807	#2f5c4d
Kankan	GIN	0.77694887152	-9.30216043373	10.3875813803	#336656
Kouroussa	GIN	0.69999225528	-9.8754802623	10.6479197874	#397360
Mandiana	GIN	0.75503289944	-9.15986217726	11.0941433382	#356a59
Siguiri	GIN	0.73609921032	-9.17696739532	11.4147250792	#366d5b
Coyah	GIN	0.36330352784	-13.3875788601	9.70940693985	#6ab29b
Dubreka	GIN	0.31744215992	-13.6251702136	10.0799439113	#75bba5
Forecariah	GIN	0.41162463576	-13.0827512317	9.4317781611	#63a993
Kindia	GIN	0.40371460696	-12.856038002	10.0497151297	#64ab94
Telimele	GIN	0.33904828392	-13.0335087388	10.8982434679	#6eb7a0
Koubia	GIN	0.42797766024	-11.8932591606	11.5861413106	#60a690
Lelouma	GIN	0.35017546072	-12.6849351436	11.4104583659	#6cb59e
Labe	GIN	0.3993674536	-12.2836215197	11.3161472878	#65ab95
Mali	GIN	0.35808689536	-12.2894742603	12.0801743469	#6bb49d
Tougue	GIN	0.47060072488	-11.5511909228	11.4927196368	#5a9e88
Dalaba	GIN	0.43625971072	-12.1426729102	10.9142277336	#5fa58f
Mamou	GIN	0.47138731936	-12.0866761129	10.3696663027	#5a9e88
Pita	GIN	0.38248230032	-12.6389107192	10.8982925996	#68af98
Beyla	GIN	0.9715099168	-8.26712590143	8.87167805962	#25463b
Gueckedou	GIN	0.78295067864	-10.1309663353	8.55940405942	#336555
Lola	GIN	1.0	-8.52624969311	7.79972499205	#234137
Macenta	GIN	0.85581587824	-9.47690289822	8.54310138278	#2d594b
Nzerekore	GIN	0.9705265276	-8.81640407302	7.75335666001	#25463b
Yamou	GIN	0.94470972464	-9.11716768008	7.61627978775	#274a3f
Kailahun	SLE	1.0	-10.8449256298	7.99078794741	#242d3f
Kenema	SLE	0.9114292356	-11.1895676484	7.85861409455	#2b364d
Kono	SLE	0.87748661952	-10.9745596683	8.64463470986	#2e3a53
Bombali	SLE	0.52005697136	-12.0418891212	8.89102395842	#647397
Kambia	SLE	0.22273894968	-12.9183585229	9.12335844809	#b0bbd4
Koinadugu	SLE	0.5813158608	-11.5522197658	9.58822367844	#556589
PortLoko	SLE	0.3949152112	-12.5367521554	8.68518874731	#8392b5
Tonkolili	SLE	0.52203755896	-12.2119361427	8.46548991358	#647397
Bo	SLE	0.73143390312	-11.7369660003	7.95880289308	#3a496a
Bonthe	SLE	0.64278470352	-12.1739735377	7.6045932369	#45557a
Moyamba	SLE	0.60942453248	-12.0730690319	8.11096422865	#4d5d82
Pujehun	SLE	0.81290430816	-11.7205172556	7.35584565429	#33405d
WesternRural	SLE	0.232119494	-13.1685249078	8.44632216003	#adb9d3
WesternUrban	SLE	0.2	-13.2619668108	8.4744196235	#b6c0d7
Gabu	GNB	1.0	-14.19951163	12.26790822	#323232
Tombali	GNB	0.2	-14.76736151	11.54503627	#c8c8c8
