EBOV|77601_EMLK|KU296826|SLE|WesternUrban|2015-01-05	2015.03583698,2015.86612962
EBOV|1149|KR534582|GIN|Conakry|2014-09-27	2014.66488265,2016.16399169
EBOV|1279|KR534589|GIN|Coyah|2014-10-04	2015.03331707,2015.42184405
EBOV|EM_079731|KR817211|GIN|Gueckedou|2014-05-18	2014.37146544,2014.67784739
EBOV|EM_079750|KR817213|GIN|Gueckedou|2014-05-21	2014.37146544,2014.8092173
EBOV|J0127|KP759676|SLE|WesternUrban|2014-10-30	2014.66488265,2016.16399169
EBOV|G6089.1|KR105345|SLE|Tonkolili|2014-09-27	2014.66488265,2016.16399169
EBOV|G3769|KM233065|SLE|Kailahun|2014-06-12	2014.66488265,2016.16399169
EBOV|EM_076191|KR817141|GIN|Macenta|2014-10-18	2014.94090512,2015.29365073
EBOV|1327|KR534591|GIN|Coyah|2014-10-07	2014.83086129,2015.36583814
EBOV|PL5201|KU296612|SLE|PortLoko|2015-03-23	2015.0227252,2015.45730659
EBOV|MK2449|KU296466|SLE|Bombali|2015-02-26	2015.07400768,2015.51406481
EBOV|653|KR534514|GIN|Conakry|2014-08-15	2014.66488265,2016.16399169
EBOV|J0125|KP759674|SLE|WesternRural|2014-10-31	2014.66488265,2016.16399169
EBOV|Makona-UK3|KR025228|SLE|WesternArea|2015-03-12	2015.11150562,2015.60470049
EBOV|G5691.1|KR105318|SLE|Kenema|2014-09-14	2014.95067059,2015.36372157
EBOV|G4323.2|KR105232|SLE|Kenema|2014-07-14	2014.66488265,2016.16399169
EBOV|77706_EMLK|KU296572|SLE|WesternUrban|2015-01-10	2015.04800162,2015.93174811
EBOV|362_EMLH|KU296505|SLE|WesternUrban|2015-01-21	2015.0227252,2015.45730659
EBOV|EM_075930|KR817137|GIN|Beyla|2014-10-10	2014.94090512,2015.29365073
EBOV|EM_079911|KR817222|GIN|Gueckedou|2014-06-09	2014.37146544,2014.67784739
EBOV|12934_EMLH|KU296790|SLE|WesternUrban|2015-05-04	2014.83768959,2015.19155046
EBOV|531|KR534510|GIN|Kouroussa|2014-07-27	2014.37146544,2014.67784739
EBOV|EM_000128|KR817071|GIN|Gueckedou|2014-09-04	2014.66488265,2016.16399169
EBOV|12579_EMLH|KU296548|SLE|WesternRural|2015-03-20	2015.11150562,2015.60470049
EBOV|20141397|KR653288|SLE|Moyamba|2014-09-28	2015.05979863,2015.46927626
EBOV|EM_080261|KR817243|LBR|Lofa|2014-07-12	2014.66488265,2016.16399169
EBOV|EM_076193|KR817143|GIN|Nzerekore|2014-10-18	2014.66488265,2016.16399169
EBOV|MK2825|KU296402|SLE|Bombali|2015-03-08	2015.11150562,2015.60470049
EBOV|20140489|KR653235|SLE|Kenema|2014-09-04	2014.68763972,2015.37484255
EBOV|G3805|KM233082|SLE|Kailahun|2014-06-15	2014.66488265,2016.16399169
EBOV|MK2369|KU296832|SLE|Bombali|2015-02-25	2015.07400768,2015.51406481
EBOV|MK2983|KU296393|SLE|Bombali|2015-03-12	2015.11150562,2015.60470049
EBOV|CDC-NIH-261||LBR|Montserrado|2014-08-27	2014.66488265,2016.16399169
EBOV|EM_079913|KR817224|GIN|Gueckedou|2014-06-09	2014.37146544,2014.67784739
EBOV|1339|KR534550|GIN|Coyah|2014-10-08	2014.94090512,2015.29365073
EBOV|20144610|KR653270|SLE|Tonkolili|2014-11-12	2014.81171409,2015.46647192
EBOV|G3886.1|KR105204|SLE|Kenema|2014-06-19	2014.68764012,2015.37486817
EBOV|EM_079578|KR817201|GIN|Gueckedou|2014-04-18	2014.37146544,2016.16399169
EBOV|12705_EMLH|KU296490|SLE|WesternUrban|2015-03-29	2014.66488265,2016.16399169
EBOV|LIBR10093|KT725363|LBR|Nimba|2014-08-17	2014.66488265,2016.16399169
EBOV|DML24506|KT357827|SLE|Kono|2015-01-14	2015.02102811,2015.40753936
EBOV|G3724|KM233053|SLE|Kailahun|2014-06-05	2014.66488265,2016.16399169
EBOV|DML12116|KT357815|SLE|WesternUrban|2015-02-26	2015.07400768,2015.51406481
EBOV|489_EMLH|KU296324|SLE|WesternRural|2015-01-30	2015.08445301,2015.67156194
EBOV|EM_074351|KR817110|LBR|Lofa|2014-07-22	2014.66488265,2016.16399169
EBOV|PL4864|KU296437|SLE|Kambia|2015-03-16	2014.66488265,2016.16399169
EBOV|LIBR10209|KT725371|LBR|Montserrado|2014-09-19	2014.85233251,2015.84500453
EBOV|LIBR10054|KR006964|LBR|Bomi|2014-09-23	2014.83740253,2015.42040933
EBOV|20143938|KR653264|SLE|Koinadugu|2014-11-07	2014.8062267,2015.43902221
EBOV|EM_074461|KR817120|GIN|Gueckedou|2014-08-04	2014.66488265,2016.16399169
EBOV|MK0709|KU296373|SLE|Tonkolili|2014-12-31	2014.66488265,2016.16399169
EBOV|LIBR10066|KT725379|LBR|Montserrado|2014-09-20	2014.68764416,2015.37513145
EBOV|PL8429|KU296440|SLE|PortLoko|2015-06-24	2014.66488265,2016.16399169
EBOV|J0015|KP759741|SLE|Bombali|2014-09-26	2014.66488265,2016.16399169
EBOV|PL4283|KU296840|SLE|PortLoko|2015-03-03	2015.16909377,2015.96051601
EBOV|LIBR10180|KT725391|LBR|Montserrado|2014-10-11	2014.66488265,2016.16399169
EBOV|15327_EMLK|KU296649|SLE|Kambia|2015-06-07	2014.66488265,2016.16399169
EBOV|EM120|KM233043|SLE|Kailahun|2014-06-03	2014.66488265,2016.16399169
EBOV|20143466|KR653304|SLE|Kenema|2014-11-01	2014.68764086,2015.37491643
