tip	95\% HPDs	integral
EBOV|MK2449|KU296466|SLE|Bombali|2015-02-26	2015.0325265-2015.26358074	0.953113928014
EBOV|EM_074461|KR817120|GIN|Gueckedou|2014-08-04	2014.46659642-2014.76185675	0.949639111469
EBOV|1279|KR534589|GIN|Coyah|2014-10-04	2014.64076193-2015.01052493	0.950168738498
EBOV|EM_079911|KR817222|GIN|Gueckedou|2014-06-09	2014.35999497-2014.52037369	0.961594267691
EBOV|J0127|KP759676|SLE|WesternUrban|2014-10-30	2014.73081739-2014.94981699	0.949705176208
EBOV|1327|KR534591|GIN|Coyah|2014-10-07	2014.6438285-2014.9316794	0.949969853653
EBOV|EM_079750|KR817213|GIN|Gueckedou|2014-05-21	2014.27667708-2014.45913352	0.958149466499
EBOV|EM_075930|KR817137|GIN|Beyla|2014-10-10	2014.54507374-2014.79602906	0.949777325017
EBOV|EM_074351|KR817110|LBR|Lofa|2014-07-22	2014.47782659-2014.65537214	0.957874292757
EBOV|J0015|KP759741|SLE|Bombali|2014-09-26	2014.57228526-2014.81405743	0.949623537796
EBOV|EM_079913|KR817224|GIN|Gueckedou|2014-06-09	2014.38351374-2014.53428268	0.956193915751
EBOV|EM_076191|KR817141|GIN|Macenta|2014-10-18	2014.62945687-2014.95683301	0.949860481356
EBOV|MK2825|KU296402|SLE|Bombali|2015-03-08	2015.08371941-2015.31472593	0.950438775349
EBOV|12934_EMLH|KU296790|SLE|WesternUrban|2015-05-04	2015.23916322-2015.41906414	0.949437629373
EBOV|531|KR534510|GIN|Kouroussa|2014-07-27	2014.44834826-2014.60070723	0.967085202418
EBOV|EM_079731|KR817211|GIN|Gueckedou|2014-05-18	2014.27865696-2014.45800134	0.972933715141
EBOV|EM_000128|KR817071|GIN|Gueckedou|2014-09-04	2014.53882155-2014.74420008	0.949578199302
EBOV|77601_EMLK|KU296826|SLE|WesternUrban|2015-01-05	2014.69691855-2015.10411026	0.949966833457
EBOV|EM_080261|KR817243|LBR|Lofa|2014-07-12	2014.49504951-2014.77745642	0.949847342931
EBOV|20143466|KR653304|SLE|Kenema|2014-11-01	2014.37408398-2014.73904613	0.950307667765
EBOV|LIBR10054|KR006964|LBR|Bomi|2014-09-23	2014.61106982-2014.88097074	0.949490243051
EBOV|20141397|KR653288|SLE|Moyamba|2014-09-28	2014.61881385-2014.86245807	0.950284801461
EBOV|489_EMLH|KU296324|SLE|WesternRural|2015-01-30	2015.01709121-2015.13437061	0.953871019016
EBOV|EM120|KM233043|SLE|Kailahun|2014-06-03	2014.3372768-2014.69197003	0.949863639454
EBOV|MK2983|KU296393|SLE|Bombali|2015-03-12	2015.1239871-2015.30054768	0.952155760992
EBOV|LIBR10093|KT725363|LBR|Nimba|2014-08-17	2014.58672809-2014.93383007	0.950102274273
EBOV|MK2369|KU296832|SLE|Bombali|2015-02-25	2015.11361708-2015.28287663	0.950032870505
EBOV|G6089.1|KR105345|SLE|Tonkolili|2014-09-27	2014.52046675-2014.87422979,2014.90594647-2014.94498239	0.949435263929
EBOV|G4323.2|KR105232|SLE|Kenema|2014-07-14	2014.4981397-2014.64107661	0.959380920669
EBOV|DML12116|KT357815|SLE|WesternUrban|2015-02-26	2015.11570795-2015.39063895	0.95017354439
EBOV|12705_EMLH|KU296490|SLE|WesternUrban|2015-03-29	2014.91464878-2014.92368669,2014.95338269-2015.29553226	0.950155746039
EBOV|CDC-NIH-261||LBR|Montserrado|2014-08-27	2014.73147033-2015.11634365	0.949802405021
EBOV|EM_079578|KR817201|GIN|Gueckedou|2014-04-18	2013.9027248-2014.18163419,2014.20593749-2014.43971217	0.950175374343
EBOV|PL4283|KU296840|SLE|PortLoko|2015-03-03	2015.08374902-2015.2974574	0.951214542276
EBOV|G3724|KM233053|SLE|Kailahun|2014-06-05	2014.378595-2014.65051353	0.950095828472
EBOV|G3805|KM233082|SLE|Kailahun|2014-06-15	2014.37524589-2014.62575669	0.950308775954
EBOV|12579_EMLH|KU296548|SLE|WesternRural|2015-03-20	2015.07168876-2015.26954154	0.951351044651
EBOV|20140489|KR653235|SLE|Kenema|2014-09-04	2014.48899828-2014.96904756	0.949669107479
EBOV|G5691.1|KR105318|SLE|Kenema|2014-09-14	2014.58866021-2014.75775689	0.954046045475
EBOV|LIBR10066|KT725379|LBR|Montserrado|2014-09-20	2014.67529777-2015.06713633	0.949851783763
EBOV|15327_EMLK|KU296649|SLE|Kambia|2015-06-07	2015.38040793-2015.67689538	0.950020968226
EBOV|G3769|KM233065|SLE|Kailahun|2014-06-12	2014.33771835-2014.78354011	0.95016026608
EBOV|1149|KR534582|GIN|Conakry|2014-09-27	2014.52230611-2014.86347493	0.949731333187
